Frame,A,B,C,D,E,F,G,H,I,J,K,L
171,147.013,163.361,120.607,119.419,90,90,93.7077,93.0713,155.158,157.163,122.181,121.066,
172,147.045,163.394,120.579,119.423,90,90,93.6694,93.1165,155.164,157.165,122.177,121.065,
173,150.179,167.947,119.647,116.792,90,90,93.904,93.1452,156.286,157.734,122.262,121.012,
174,149.486,166.952,120.526,117.657,90,90,93.5266,93.15,155.093,156.611,121.731,120.533,
175,149.486,166.952,120.526,117.657,90,90,93.5266,93.15,155.093,156.611,121.731,120.533,
176,149.486,166.952,120.526,117.657,90,90,93.5266,93.15,155.093,156.611,121.731,120.533,
177,149.534,166.978,120.29,117.651,90,90,93.5016,93.1576,155.099,156.602,121.728,120.545,
178,149.913,166.906,121.554,118.202,90,90,93.2251,92.8163,155.83,156.478,121.639,120.9,
179,149.913,166.904,121.549,118.2,90,90,93.2206,92.8168,155.827,156.477,121.639,120.9,
180,149.913,166.917,121.538,118.198,90,90,93.2167,92.8185,155.823,156.476,121.64,120.9,
181,149.913,166.917,121.538,118.198,90,90,93.2166,92.8185,155.823,156.476,121.64,120.9,
182,149.913,166.917,121.538,118.198,90,90,93.2166,92.8185,155.823,156.476,121.64,120.9,
183,148.191,164.394,121.004,118.276,90,90,93.1486,92.4852,155.294,156.26,121.592,120.927,
184,148.187,164.445,120.957,118.274,90,90,93.1311,92.5181,155.263,156.244,121.606,120.924,
185,148.187,164.445,120.957,118.274,90,90,93.1313,92.5186,155.262,156.244,121.606,120.924,
186,148.187,164.445,120.956,118.274,90,90,93.131,92.5187,155.262,156.244,121.606,120.924,
187,148.193,164.344,120.923,118.282,90,90,93.1277,92.5394,155.225,156.221,121.622,120.921,
188,148.193,164.344,120.923,118.282,90,90,93.1277,92.5395,155.225,156.221,121.622,120.921,
189,152.512,167.671,118.075,116.257,90,90,92.6717,93.1579,156.328,156.746,121.303,120.811,
190,152.512,167.671,118.075,116.257,90,90,92.6717,93.1579,156.328,156.746,121.303,120.811,
191,152.512,167.671,118.075,116.257,90,90,92.6717,93.1579,156.328,156.746,121.303,120.811,
192,152.102,167.242,119.728,116.874,90,90,92.6192,93.1449,156.035,156.037,121.147,120.688,
193,151.028,165.842,119.12,117.001,90,90,92.7462,93.063,156.153,156.214,121.207,120.764,
194,151.359,166.885,119.368,116.783,90,90,92.6359,93.5002,155.481,156.433,121.362,120.705,
195,151.337,166.947,119.337,116.769,90,90,92.651,93.477,155.521,156.429,121.354,120.707,
196,151.337,166.948,119.337,116.769,90,90,92.651,93.4769,155.521,156.429,121.354,120.707,
197,151.184,166.898,119.19,116.685,90,90,92.5935,93.4847,155.65,156.133,121.271,120.763,
198,153.701,168.622,119.123,117.875,90,90,92.6096,93.6214,157.325,156.865,120.995,121.139,
199,153.936,168.486,119.189,117.866,90,90,92.5284,93.5151,156.984,156.503,121.046,121.076,
200,153.69,168.541,119.56,117.881,90,90,92.6112,93.2134,155.936,156.239,121.052,120.772,
201,153.69,168.542,119.56,117.881,90,90,92.6108,93.2136,155.936,156.239,121.052,120.772,
202,153.69,168.542,119.56,117.881,90,90,92.6108,93.2136,155.936,156.239,121.052,120.772,
203,153.657,168.51,119.598,117.873,90,90,92.5666,93.2253,155.951,156.222,121.049,120.771,
204,153.657,168.51,119.598,117.873,90,90,92.5666,93.2253,155.951,156.222,121.049,120.771,
205,153.657,168.511,119.599,117.873,90,90,92.5667,93.2255,155.951,156.222,121.049,120.771,
206,153.657,168.511,119.599,117.873,90,90,92.5668,93.2256,155.951,156.222,121.049,120.771,
207,151.881,166.469,119.783,117.436,90,90,93.3811,92.8688,155.236,156.172,120.792,120.23,
208,152.683,166.344,120.16,116.657,90,90,92.894,92.8608,155.764,155.59,120.114,119.891,
209,152.679,166.342,120.155,116.656,90,90,92.8945,92.8617,155.758,155.592,120.115,119.891,
210,151.586,165.956,118.718,117.044,90,90,92.7753,94.0312,154.471,156.697,119.79,119.296,
211,150.937,157.415,120.3,120.402,90,90,93.2277,93.3946,147.469,147.555,115.974,116.441,
212,150.413,157.754,120.729,120.453,90,90,93.2447,93.721,147.27,147.527,116.232,116.62,
213,147.293,157.681,121.085,120.72,90,90,93.3491,94.199,144.704,144.753,115.611,116.163,
214,146.645,157.75,120.647,120.796,90,90,92.4795,97.6665,144.29,142.443,114.746,115.732,
215,147.148,156.599,121.025,118.983,90,90,92.9927,97.9496,144.437,141.224,114.045,115.312,
216,150.885,162.196,118.601,116.115,90,90,95.2816,96.2676,139.894,140.173,114.455,114.595,
217,150.481,159.395,120.548,117.989,90,90,96.1637,95.8077,140.34,141.227,114.777,114.757,
218,150.465,159.963,120.145,118.007,90,90,96.2706,95.5194,140.477,141.094,114.648,114.717,
219,151.04,160.003,119.198,114.666,90,90,95.6667,97.6873,142.208,142.777,115.073,115.174,
220,149.64,161.532,116.983,113.902,90,90,97.36,97.9983,143.071,143.098,114.724,114.943,
221,149.153,161.754,117.971,113.402,90,90,96.0506,98.9045,145.656,143.986,115.27,116.024,
222,147.068,162.492,118.48,113.36,90,90,96.4601,98.4569,144.641,143.608,115.003,115.319,
223,147.811,162.661,119.522,113.365,90,90,95.932,98.7969,144.511,143.182,114.936,115.371,
224,149.592,163.515,119.733,114.42,90,90,95.7756,98.7088,145.033,142.617,114.365,115.367,
