Frame,A,B,C,D,E,F,G,H,I,J,K,L
124,131.22,147.816,105.656,118.456,89.8385,90.1615,87.0631,93.7213,139.565,129.18,99.8626,102.351,
125,144.583,149.802,109.547,119.639,89.9594,90.0406,88.1779,90.7822,138.748,139.79,100.465,103.19,
126,156.164,145.719,111.63,114.904,90.0125,89.9875,92.9757,92.0766,155.917,152.76,113.142,114.621,
127,177.053,171.074,113.138,110.044,90.0009,89.9991,87.9939,97.3214,160.014,159.28,110.045,109.974,
128,157.755,157.376,115.622,114.266,90,90,96.8121,91.7849,150.481,161.507,102.032,104.505,
129,158.231,154.725,116.377,115.052,90,90,96.7339,92.4126,163.176,175.672,105.429,106.94,
130,157.112,154.955,116.183,114.521,90,90,96.657,92.3412,167.617,179.279,107.46,108.702,
131,154.668,154.915,116.234,114.278,90,90,96.2724,91.8825,170.784,178.559,108.372,109.451,
132,154.515,152.443,113.786,116.887,89.8554,90.1446,95.2394,93.0652,166.666,178.853,108.202,109.061,
133,154.485,152.432,113.775,116.88,89.8579,90.1421,95.2439,93.0656,166.677,178.849,108.206,109.062,
134,154.416,152.376,113.748,116.88,89.8602,90.1398,95.3276,93.0465,165.363,178.841,107.83,109.067,
135,154.416,152.375,113.748,116.88,89.8602,90.1398,95.2462,93.0465,166.656,178.841,108.214,109.067,
136,155.204,151.042,116.201,117.53,89.8677,90.1323,95.7994,92.3138,166.909,179.211,108.225,109.072,
137,156.171,153.359,116.561,117.787,89.9238,90.0762,95.9805,92.4551,167.539,179.297,108.226,109.072,
138,156.171,153.384,116.561,117.8,89.923,90.077,95.97,92.4556,167.537,179.289,108.226,109.072,
139,156.171,153.384,116.561,117.801,89.9229,90.0771,95.9696,92.4553,167.537,179.289,108.226,109.072,
140,156.171,153.384,116.561,117.801,89.9229,90.0771,95.9696,92.4553,167.537,179.289,108.226,109.072,
141,156.171,153.384,116.561,117.801,89.9229,90.0771,95.9696,92.4553,167.537,179.289,108.226,109.072,
142,156.171,153.384,116.561,117.801,89.9229,90.0771,95.9696,92.4553,167.537,179.289,108.226,109.072,
143,155.882,155.014,117.82,118.803,89.9217,90.0783,95.2077,92.8073,160.184,175.461,106.247,103.724,
144,155.858,155.028,117.82,118.818,89.9196,90.0804,95.2007,92.8025,155.411,175.457,103.746,103.723,
145,155.854,155.029,117.82,118.82,89.9192,90.0808,95.1976,92.8013,155.402,175.454,103.746,103.723,
146,155.854,155.029,117.82,118.82,89.9192,90.0808,95.1976,92.8013,155.402,175.454,103.746,103.723,
147,155.854,155.029,117.82,118.82,89.9192,90.0808,95.1976,92.8013,155.402,175.454,103.746,103.723,
148,155.293,154.853,117.362,118.398,89.9032,90.0968,95.8791,93.4323,158.335,173.247,105.002,105.137,
